source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:BP,ribosome biogenesis,GO:0042254,3.2311723921244915e-29,250,55,349,0.15759312320916904,28.490639870533542
GO:CC,nucleolus,GO:0005730,8.402892921868947e-28,281,56,372,0.15053763440860216,27.07557117063953
GO:BP,ribonucleoprotein complex biogenesis,GO:0022613,9.197961105048364e-28,340,61,349,0.17478510028653296,27.03630843123715
GO:BP,rRNA metabolic process,GO:0016072,1.133053051257013e-22,185,42,349,0.12034383954154727,21.94574975533626
GO:BP,rRNA processing,GO:0006364,3.8246713975913833e-22,171,40,349,0.11461318051575932,21.41740587197264
GO:CC,preribosome,GO:0030684,1.9308632204163954e-21,82,29,372,0.07795698924731183,20.714248489929744
GO:CC,nuclear lumen,GO:0031981,5.464644729636597e-20,913,86,372,0.23118279569892472,19.262438067378277
GO:CC,membraneless organelle,GO:0043228,1.1547802154338595e-15,2061,129,372,0.3467741935483871,14.937500665388395
GO:CC,intracellular membraneless organelle,GO:0043232,1.1547802154338595e-15,2061,129,372,0.3467741935483871,14.937500665388395
GO:CC,intracellular organelle lumen,GO:0070013,3.1258620448853015e-15,1292,95,372,0.2553763440860215,14.505030192813035
GO:CC,membrane-enclosed lumen,GO:0031974,3.1258620448853015e-15,1293,95,372,0.2553763440860215,14.505030192813035
GO:CC,organelle lumen,GO:0043233,3.1258620448853015e-15,1293,95,372,0.2553763440860215,14.505030192813035
GO:MF,ATP-dependent activity,GO:0140657,1.3098478315059844e-12,416,47,355,0.1323943661971831,11.882779154554779
GO:MF,ATP hydrolysis activity,GO:0016887,3.823404709566107e-12,276,37,355,0.10422535211267606,11.417549729229549
GO:CC,small-subunit processome,GO:0032040,5.125854983411009e-12,45,16,372,0.043010752688172046,11.290233684690062
GO:MF,ATP-dependent protein folding chaperone,GO:0140662,2.276481189069281e-11,32,14,355,0.03943661971830986,10.642735933986216
GO:CC,ribonucleoprotein complex,GO:1990904,3.21542776189018e-11,571,52,372,0.13978494623655913,10.492761242873279
