source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:CC,membrane,GO:0016020,1.9749072802976373e-17,4488,419,812,0.5160098522167488,16.704453289202252
GO:CC,plasma membrane,GO:0005886,1.9749072802976373e-17,1848,219,812,0.2697044334975369,16.704453289202252
GO:CC,cell periphery,GO:0071944,1.245648387448311e-13,2224,237,812,0.291871921182266,12.904604529860588
KEGG,Metabolic pathways,KEGG:01100,4.752123621018925e-08,1188,123,249,0.4939759036144578,7.3231122702095135
GO:BP,transmembrane transport,GO:0055085,7.33823300421739e-06,987,114,777,0.14671814671814673,5.1344085026046935
GO:MF,transporter activity,GO:0005215,1.0327002502619886e-05,1035,118,818,0.14425427872860636,4.986025717733236
GO:MF,transmembrane transporter activity,GO:0022857,1.0327002502619886e-05,979,112,818,0.13691931540342298,4.986025717733236
GO:MF,catalytic activity,GO:0003824,1.0327002502619886e-05,4113,356,818,0.4352078239608802,4.986025717733236
GO:BP,small molecule catabolic process,GO:0044282,0.00010589281543451177,191,34,777,0.043758043758043756,3.975133504698875
GO:BP,carbohydrate derivative catabolic process,GO:1901136,0.00010589281543451177,131,27,777,0.03474903474903475,3.975133504698875
GO:BP,amino acid transport,GO:0006865,0.00010589281543451177,79,20,777,0.02574002574002574,3.975133504698875
GO:BP,cellular process,GO:0009987,0.00010589281543451177,9318,675,777,0.8687258687258688,3.975133504698875
GO:BP,organic acid transport,GO:0015849,0.00014783127662495215,121,25,777,0.032175032175032175,3.830233672648744
GO:BP,carboxylic acid transport,GO:0046942,0.00014783127662495215,121,25,777,0.032175032175032175,3.830233672648744
GO:MF,carboxylic acid transmembrane transporter activity,GO:0046943,0.00014811733284763147,121,25,818,0.030562347188264057,3.829394116903347
GO:CC,cellular anatomical structure,GO:0110165,0.00018584539386521707,10925,760,812,0.9359605911330049,3.730848198322406
GO:MF,"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0004553,0.0005302527061782063,91,20,818,0.02444987775061125,3.275517106356402
GO:MF,iron ion binding,GO:0005506,0.0005302527061782063,159,28,818,0.034229828850855744,3.275517106356402
GO:MF,amino acid transmembrane transporter activity,GO:0015171,0.0005302527061782063,84,19,818,0.023227383863080684,3.275517106356402
GO:BP,carbohydrate metabolic process,GO:0005975,0.0006674083996919636,271,40,777,0.05148005148005148,3.175608331818305
GO:MF,oxidoreductase activity,GO:0016491,0.000815764107326502,642,74,818,0.09046454767726161,3.0884354070514846
GO:MF,heme binding,GO:0020037,0.000815764107326502,138,25,818,0.030562347188264057,3.0884354070514846
GO:MF,tetrapyrrole binding,GO:0046906,0.0008381622340974962,139,25,818,0.030562347188264057,3.0766719114961685
GO:BP,organic acid metabolic process,GO:0006082,0.001096884970720095,372,49,777,0.06306306306306306,2.9598389140851595
GO:BP,small molecule metabolic process,GO:0044281,0.001096884970720095,801,87,777,0.11196911196911197,2.9598389140851595
GO:MF,active transmembrane transporter activity,GO:0022804,0.0013693299003948423,267,38,818,0.04645476772616137,2.8634919085783404
GO:BP,carboxylic acid metabolic process,GO:0019752,0.0013964967986260137,368,48,777,0.06177606177606178,2.8549600555524144
GO:BP,amino acid transmembrane transport,GO:0003333,0.0013964967986260137,66,16,777,0.02059202059202059,2.8549600555524144
GO:BP,organic anion transport,GO:0015711,0.0013964967986260137,167,28,777,0.036036036036036036,2.8549600555524144
GO:BP,oxoacid metabolic process,GO:0043436,0.0013977440985295131,369,48,777,0.06177606177606178,2.8545723327172796
GO:MF,amino acid:sodium symporter activity,GO:0005283,0.001522417266688074,24,9,818,0.011002444987775062,2.817466299087282
GO:MF,"hydrolase activity, acting on glycosyl bonds",GO:0016798,0.0020395446395949455,113,21,818,0.02567237163814181,2.6904667848222
GO:MF,L-amino acid transmembrane transporter activity,GO:0015179,0.0022274016501678544,51,13,818,0.01589242053789731,2.6522014629285127
GO:MF,monooxygenase activity,GO:0004497,0.0027470985928879604,125,22,818,0.02689486552567237,2.5611257535467424
GO:MF,amino acid:monoatomic cation symporter activity,GO:0005416,0.0033936549733967437,27,9,818,0.011002444987775062,2.4693323136879903
KEGG,Tyrosine metabolism,KEGG:00350,0.003843217531383301,23,8,249,0.0321285140562249,2.415305033176631
GO:MF,endochitinase activity,GO:0008843,0.004302405571901714,12,6,818,0.007334963325183374,2.3662886526801357
GO:BP,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189,0.005459589129807307,45,12,777,0.015444015444015444,2.2628400395977613
GO:BP,organic cation transport,GO:0015695,0.005459589129807307,45,12,777,0.015444015444015444,2.2628400395977613
GO:MF,oligosaccharide transmembrane transporter activity,GO:0015157,0.006050479887389426,5,4,818,0.004889975550122249,2.2182101783756405
GO:MF,disaccharide transmembrane transporter activity,GO:0015154,0.006050479887389426,5,4,818,0.004889975550122249,2.2182101783756405
KEGG,Glycolysis / Gluconeogenesis,KEGG:00010,0.0061440362889932515,55,12,249,0.04819277108433735,2.211546227862127
KEGG,Glycosaminoglycan degradation,KEGG:00531,0.0061440362889932515,15,6,249,0.024096385542168676,2.211546227862127
KEGG,Folate transport and metabolism,KEGG:04981,0.0061440362889932515,21,7,249,0.028112449799196786,2.211546227862127
GO:BP,carboxylic acid catabolic process,GO:0046395,0.006456994747841083,119,21,777,0.02702702702702703,2.1899695668517976
GO:BP,organic acid catabolic process,GO:0016054,0.006456994747841083,119,21,777,0.02702702702702703,2.1899695668517976
GO:BP,multicellular organismal process,GO:0032501,0.0070865955506579465,3210,263,777,0.3384813384813385,2.149562352779581
GO:MF,solute:monoatomic cation symporter activity,GO:0015294,0.007310515697339862,51,12,818,0.014669926650366748,2.1360519860230682
KEGG,Lysosome biogenesis,KEGG:04142,0.008015299736514403,209,27,249,0.10843373493975904,2.09608023232665
GO:MF,transmembrane signaling receptor activity,GO:0004888,0.008107898471760808,352,43,818,0.05256723716381418,2.0910916982412524
GO:MF,ABC-type transporter activity,GO:0140359,0.008107898471760808,52,12,818,0.014669926650366748,2.0910916982412524
GO:BP,glycosyl compound catabolic process,GO:1901658,0.008610277080239509,22,8,777,0.010296010296010296,2.064982872648221
GO:MF,transmembrane receptor protein tyrosine kinase activity,GO:0004714,0.008641283929896987,25,8,818,0.009779951100244499,2.0634217248541242
GO:MF,chitinase activity,GO:0004568,0.008789487208864757,14,6,818,0.007334963325183374,2.0560364615424582
GO:BP,tyrosine metabolic process,GO:0006570,0.009672500976728496,17,7,777,0.009009009009009009,2.0144612177516876
GO:MF,symporter activity,GO:0015293,0.010638513276531888,70,14,818,0.017114914425427872,1.973119060096661
GO:BP,neutral amino acid transport,GO:0015804,0.011144115614403725,29,9,777,0.011583011583011582,1.9529543909813372
GO:MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",GO:0016705,0.01214795791350529,182,26,818,0.03178484107579462,1.9154967213606275
GO:MF,organic acid:sodium symporter activity,GO:0005343,0.012268144645882152,15,6,818,0.007334963325183374,1.9112211121696534
GO:MF,trehalose transmembrane transporter activity,GO:0015574,0.012694794056248035,3,3,818,0.003667481662591687,1.8963743401593443
GO:BP,oligosaccharide transport,GO:0015772,0.012780533533776417,5,4,777,0.005148005148005148,1.8934510158224964
GO:BP,disaccharide transport,GO:0015766,0.012780533533776417,5,4,777,0.005148005148005148,1.8934510158224964
KEGG,beta-Alanine metabolism,KEGG:00410,0.012920621849428474,25,7,249,0.028112449799196786,1.8887165839201658
KEGG,Neuroactive ligand signaling,KEGG:04082,0.012920621849428474,65,12,249,0.04819277108433735,1.8887165839201658
GO:MF,solute:sodium symporter activity,GO:0015370,0.013290183159102147,41,10,818,0.012224938875305624,1.8764690337721481
GO:BP,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,0.01385631302386286,67,14,777,0.018018018018018018,1.8583523141979186
GO:BP,amino acid import across plasma membrane,GO:0089718,0.01385631302386286,24,8,777,0.010296010296010296,1.8583523141979186
KEGG,Phenylalanine metabolism,KEGG:00360,0.014071876936453596,8,4,249,0.01606425702811245,1.8516479715930076
KEGG,Drug metabolism - other enzymes,KEGG:00983,0.01425395551066727,96,15,249,0.060240963855421686,1.8460646010534374
KEGG,Drug metabolism - cytochrome P450,KEGG:00982,0.01425395551066727,68,12,249,0.04819277108433735,1.8460646010534374
GO:MF,G protein-coupled receptor activity,GO:0004930,0.015022221357917368,118,19,818,0.023227383863080684,1.823265842820879
GO:MF,small molecule binding,GO:0036094,0.015148570724967367,3205,262,818,0.3202933985330073,1.8196283411248304
GO:BP,cell communication,GO:0007154,0.01687074837526403,2000,172,777,0.22136422136422138,1.772865651966967
KEGG,Metabolism of xenobiotics by cytochrome P450,KEGG:00980,0.01698314360118519,70,12,249,0.04819277108433735,1.7699819181977423
GO:MF,hepatocyte growth factor receptor activity,GO:0005008,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,insulin receptor activity,GO:0005009,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,epidermal growth factor receptor activity,GO:0005006,0.017055266588152533,24,7,818,0.008557457212713936,1.768141487815732
GO:MF,cation binding,GO:0043169,0.017055266588152533,2117,180,818,0.2200488997555012,1.768141487815732
