"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"128up",278,261,564,290,358,411,428,512
"14-3-3epsilon",3664,3239,6864,3590,5852,6114,6008,6309
"14-3-3zeta",2775,2311,5019,2680,5153,5459,6835,7332
"18w",245,223,421,204,948,994,966,1135
"26-29-p",387,435,729,402,1287,1309,1784,1836
"312",179,184,336,192,393,429,495,513
"5-HT1A",2,5,4,1,9,7,10,5
"5-HT2A",1,4,5,4,10,15,9,11
"5-HT2B",36,51,53,36,112,120,139,114
"7B2",4,5,8,1,31,33,35,33
"a",426,486,795,400,2236,2084,1991,1767
"AANAT1",54,63,92,50,279,309,437,432
"AANATL6",0,0,0,0,0,0,0,0
"AANATL7",0,1,2,1,3,2,10,4
"Aatf",256,231,546,250,519,639,646,733
"aay",43,42,102,39,431,559,201,305
"ab",55,52,100,34,162,171,211,238
"ABCB7",296,281,608,304,534,612,657,773
"abs",188,237,398,202,329,353,345,409
"Ac3",58,71,128,75,628,653,621,587
"Ac76E",195,205,389,233,2050,2187,1709,1777
"Acam",0,0,0,0,0,0,1,0
"Acbp2",22,21,42,19,56,68,74,58
"Acer",376,377,754,371,1800,1865,1783,1917
"Acf",397,333,831,387,577,542,722,739
"Achl",16,12,13,10,57,43,42,50
"Ack",608,518,1117,534,2788,3255,2184,2267
"Acn",498,458,936,464,911,1031,1124,1185
"Acox57D-d",43,36,82,34,288,326,248,207
"Acox57D-p",485,471,888,404,2585,3065,2414,2809
"Acsl",1674,1528,3339,1677,4748,5392,5669,6031
"Act57B",52,39,88,51,51,43,50,53
"Act5C",13541,14383,25073,15444,20695,20604,21294,22121
"Act79B",12,29,16,19,126,79,16,5
"Act87E",173,136,303,192,161,181,176,194
"Act88F",13,11,29,9,6,6,5,5
"ACXA",0,0,1,0,0,0,0,0
"ACXB",0,0,0,0,0,0,2,0
"ACXC",0,0,0,0,1,1,2,0
"ACXD",1,0,2,0,10,9,12,12
"ACXE",0,0,0,0,0,0,1,0
"Ada",45,39,88,53,146,145,141,171
